frame,source_clip,local_frame,camera,person,x,y,w,h,occluded,track_id
1,clip_c11_20260727_145025.avi,0,c11,1,810.2,165.89,52.46,114.59,0,1
2,clip_c11_20260727_145025.avi,1,c11,1,813.2,165.89,51.7,114.59,0,1
3,clip_c11_20260727_145025.avi,2,c11,1,827.3,165.89,37.6,114.59,0,1
4,clip_c11_20260727_145025.avi,3,c11,1,829.2,170.0,44.6,114.9,0,1
5,clip_c11_20260727_145025.avi,4,c11,1,836.6,170.7,38.7,114.2,0,1
6,clip_c11_20260727_145025.avi,5,c11,1,848.9,170.7,43.9,117.2,0,1
7,clip_c11_20260727_145025.avi,6,c11,1,848.9,170.7,58.8,123.9,0,1
8,clip_c11_20260727_145025.avi,7,c11,1,853.4,174.8,59.9,121.3,0,1
9,clip_c11_20260727_145025.avi,8,c11,1,878.3,174.8,35.0,121.3,0,1
10,clip_c11_20260727_145025.avi,9,c11,1,878.3,174.8,58.1,126.5,0,1
11,clip_c11_20260727_145025.avi,10,c11,1,882.8,177.8,53.6,126.8,0,1
12,clip_c11_20260727_145025.avi,11,c11,1,912.2,177.8,44.7,126.8,0,1
13,clip_c11_20260727_145025.avi,12,c11,1,902.5,177.8,64.1,133.9,0,1
14,clip_c11_20260727_145025.avi,13,c11,1,917.4,177.8,51.8,133.9,0,1
15,clip_c11_20260727_145025.avi,14,c11,1,948.3,177.8,20.53,133.9,1,1
19,clip_c9_20260727_145031.avi,0,c9,1,889.43,29.06,29.42,90.42,1,2
20,clip_c9_20260727_145031.avi,1,c9,1,890.12,29.06,28.73,92.28,1,2
21,clip_c9_20260727_145031.avi,2,c9,1,890.82,29.06,28.03,94.13,1,2
22,clip_c9_20260727_145031.avi,3,c9,1,891.51,29.06,27.34,95.99,1,2
23,clip_c9_20260727_145031.avi,4,c9,1,892.2,29.06,26.65,97.84,1,2
24,clip_c9_20260727_145031.avi,5,c9,1,893.1,29.06,25.75,97.84,1,2
25,clip_c9_20260727_145031.avi,6,c9,1,893.1,29.06,29.5,97.84,1,2
26,clip_c9_20260727_145031.avi,7,c9,1,893.1,29.06,29.95,101.09,1,2
27,clip_c9_20260727_145031.avi,8,c9,1,893.1,29.06,30.4,104.34,1,2
28,clip_c9_20260727_145031.avi,9,c9,1,893.1,29.06,33.8,104.34,1,2
29,clip_c9_20260727_145031.avi,10,c9,1,896.2,30.28,30.85,106.97,1,2
30,clip_c9_20260727_145031.avi,11,c9,1,899.3,31.5,27.9,109.6,1,2
31,clip_c9_20260727_145031.avi,12,c9,1,901.2,31.5,32.8,112.1,0,2
32,clip_c9_20260727_145031.avi,13,c9,1,897.2,31.5,37.7,112.1,0,2
33,clip_c9_20260727_145031.avi,14,c9,1,897.2,36.8,37.7,109.3,0,2
34,clip_c9_20260727_145031.avi,15,c9,1,892.4,37.43,44.0,111.14,0,2
35,clip_c9_20260727_145031.avi,16,c9,1,894.2,38.07,41.45,112.96,0,2
36,clip_c9_20260727_145031.avi,17,c9,1,901.5,38.7,33.4,114.8,0,2
37,clip_c9_20260727_145031.avi,18,c9,1,901.5,38.7,36.8,114.8,0,2
38,clip_c9_20260727_145031.avi,19,c9,1,901.5,38.7,40.2,114.8,0,2
39,clip_c9_20260727_145031.avi,20,c9,1,901.5,38.7,40.2,120.1,0,2
40,clip_c9_20260727_145031.avi,21,c9,1,898.1,45.2,43.6,120.1,0,2
