timestamp,cpu_percent,ram_percent,cpu_peak,ram_peak,fps_effective,gpu_util,vram_mb
2026-09-02T11:39:04.691909+07:00,0.0,72.2,0.0,72.2,0.00,,
2026-09-02T11:39:06.694882+07:00,23.8,72.4,23.8,72.4,0.00,,
2026-09-02T11:39:08.700047+07:00,31.1,72.4,31.1,72.4,0.00,,
2026-09-02T11:39:10.705615+07:00,38.8,84.1,38.8,84.1,8.50,,
2026-09-02T11:39:12.711262+07:00,35.3,82.9,38.8,84.1,23.50,,
2026-09-02T11:39:14.719551+07:00,28.1,84.8,38.8,84.8,34.00,,
2026-09-02T11:39:16.730781+07:00,50.2,84.7,50.2,84.8,26.00,,
2026-09-02T11:39:18.739978+07:00,55.8,82.9,55.8,84.8,20.00,,
2026-09-02T11:39:20.743900+07:00,64.0,81.3,64.0,84.8,7.50,,
2026-09-02T11:39:22.745941+07:00,66.3,76.2,66.3,84.8,0.00,,
2026-09-02T11:39:24.751185+07:00,56.9,75.9,66.3,84.8,0.00,,
2026-09-02T11:39:26.755935+07:00,57.9,75.8,66.3,84.8,0.00,,
2026-09-02T11:39:28.761475+07:00,72.7,79.3,72.7,84.8,13.00,,
2026-09-02T11:39:30.767316+07:00,77.8,79.8,77.8,84.8,20.00,,
2026-09-02T11:39:32.774618+07:00,70.5,81.7,77.8,84.8,21.00,,
2026-09-02T11:39:34.777070+07:00,75.1,83.5,77.8,84.8,17.00,,
2026-09-02T11:39:36.782497+07:00,72.0,83.4,77.8,84.8,15.50,,
2026-09-02T11:39:38.783872+07:00,63.6,80.7,77.8,84.8,13.50,,
2026-09-02T11:39:40.792742+07:00,66.7,79.2,77.8,84.8,29.50,,
2026-09-02T11:39:42.796876+07:00,60.5,75.9,77.8,84.8,33.00,,
2026-09-02T11:39:44.799845+07:00,69.2,78.7,77.8,84.8,32.00,,
2026-09-02T11:39:46.801346+07:00,49.2,77.9,77.8,84.8,34.00,,
2026-09-02T11:39:48.807872+07:00,42.9,80.7,77.8,84.8,8.50,,
2026-09-02T11:39:50.812144+07:00,69.5,84.5,77.8,84.8,20.50,,
2026-09-02T11:39:52.813807+07:00,60.3,82.2,77.8,84.8,35.50,,
2026-09-02T11:39:54.818317+07:00,68.4,83.1,77.8,84.8,28.00,,
2026-09-02T11:39:56.821993+07:00,79.3,84.6,79.3,84.8,18.00,,
2026-09-02T11:39:58.830136+07:00,77.8,85.7,79.3,85.7,10.00,,
2026-09-02T11:40:00.835530+07:00,66.4,85.1,79.3,85.7,16.00,,
2026-09-02T11:40:02.841443+07:00,69.9,85.8,79.3,85.8,7.50,,
2026-09-02T11:40:04.846675+07:00,61.4,81.8,79.3,85.8,2.50,,
2026-09-02T11:40:06.852373+07:00,76.9,86.8,79.3,86.8,2.00,,
2026-09-02T11:40:08.858959+07:00,82.9,86.7,82.9,86.8,5.00,,
2026-09-02T11:40:10.951350+07:00,84.0,87.1,84.0,87.1,5.00,,
